_epochs=10, n_batch=128, 1/2=64, b/e=28, steps=280
>1, c[0.000,0], d[0.811,0.708], g[2.443]
>2, c[0.000,0], d[0.070,0.431], g[6.789]
>3, c[0.000,0], d[0.005,0.011], g[8.684]
>4, c[0.000,0], d[0.001,0.001], g[9.973]
>5, c[0.000,0], d[0.000,0.000], g[10.513]
>6, c[0.000,0], d[0.000,0.000], g[10.290]
>7, c[0.000,0], d[0.000,0.047], g[10.455]
>8, c[0.000,0], d[0.006,0.000], g[9.481]
>9, c[0.000,0], d[0.001,0.001], g[9.200]
>10, c[0.000,0], d[0.000,0.002], g[9.472]
>11, c[0.000,0], d[0.000,0.002], g[9.832]
>12, c[0.000,0], d[0.000,0.001], g[10.436]
>13, c[0.000,0], d[0.000,0.001], g[10.031]
>14, c[0.000,0], d[0.000,0.003], g[10.982]
>15, c[0.000,0], d[0.000,0.003], g[11.583]
>16, c[0.000,0], d[0.000,0.000], g[11.383]
>17, c[0.000,0], d[0.000,0.000], g[11.190]
>18, c[0.000,0], d[0.000,0.000], g[10.356]
>19, c[0.000,0], d[0.001,0.001], g[10.153]
>20, c[0.000,0], d[0.000,0.001], g[10.378]
>21, c[0.000,0], d[0.000,0.001], g[11.203]
>22, c[0.000,0], d[0.000,0.000], g[11.741]
>23, c[0.000,0], d[0.000,0.007], g[14.826]
>24, c[0.000,0], d[0.000,0.000], g[13.564]
>25, c[0.000,0], d[0.000,0.000], g[11.717]
>26, c[0.000,0], d[0.000,0.001], g[10.219]
>27, c[0.000,0], d[0.000,0.001], g[10.763]
>28, c[0.000,0], d[0.000,0.000], g[11.187]
>29, c[0.000,0], d[0.000,0.000], g[11.508]
>30, c[0.000,0], d[0.000,0.000], g[12.224]
>31, c[0.000,0], d[0.000,0.000], g[11.709]
>32, c[0.000,0], d[0.000,0.000], g[11.154]
>33, c[0.000,0], d[0.000,0.000], g[11.903]
>34, c[0.000,0], d[0.000,0.000], g[15.116]
>35, c[0.000,0], d[0.000,0.000], g[15.604]
>36, c[0.000,0], d[0.000,0.000], g[11.702]
>37, c[0.000,0], d[0.000,0.001], g[10.720]
>38, c[0.000,0], d[0.000,0.001], g[14.457]
>39, c[0.000,0], d[0.000,0.000], g[13.323]
>40, c[0.000,0], d[0.000,0.000], g[11.374]
>41, c[0.000,0], d[0.000,0.001], g[10.710]
>42, c[0.000,0], d[0.000,0.000], g[11.480]
>43, c[0.000,0], d[0.000,0.000], g[14.107]
>44, c[0.000,0], d[0.000,0.000], g[11.664]
>45, c[0.000,0], d[0.000,0.000], g[10.715]
>46, c[0.000,0], d[0.000,0.000], g[15.715]
>47, c[0.000,0], d[0.000,0.000], g[17.387]
>48, c[0.000,0], d[0.000,0.000], g[14.051]
>49, c[0.000,0], d[0.000,0.000], g[12.261]
>50, c[0.000,0], d[0.000,0.000], g[10.481]
>51, c[0.000,0], d[0.000,0.003], g[13.740]
>52, c[0.000,0], d[0.000,0.000], g[13.934]
>53, c[0.000,0], d[0.000,0.000], g[13.233]
>54, c[0.000,0], d[0.000,0.000], g[11.903]
>55, c[0.000,0], d[0.000,0.000], g[10.639]
>56, c[0.000,0], d[0.000,0.001], g[10.969]
>57, c[0.000,0], d[0.000,0.000], g[11.840]
>58, c[0.000,0], d[0.000,0.001], g[12.928]
>59, c[0.000,0], d[0.000,0.001], g[13.565]
>60, c[0.000,0], d[0.000,0.001], g[13.823]
>61, c[0.000,0], d[0.000,0.027], g[22.259]
>62, c[0.000,0], d[6.650,0.000], g[-2.445]
>63, c[0.000,0], d[0.001,7.228], g[1.822]
>64, c[0.000,0], d[0.824,0.476], g[2.179]
>65, c[0.000,0], d[0.761,0.361], g[1.844]
>66, c[0.000,0], d[0.322,0.508], g[3.412]
>67, c[0.000,0], d[0.192,0.141], g[5.263]
>68, c[0.000,0], d[0.045,0.022], g[6.929]
>69, c[0.000,0], d[0.005,0.004], g[7.815]
>70, c[0.000,0], d[0.001,0.002], g[8.260]
>71, c[0.000,0], d[0.001,0.001], g[8.403]
>72, c[0.000,0], d[0.000,0.001], g[8.406]
>73, c[0.000,0], d[0.000,0.001], g[8.365]
>74, c[0.000,0], d[0.000,0.001], g[8.307]
>75, c[0.000,0], d[0.000,0.001], g[8.253]
>76, c[0.000,0], d[0.000,0.001], g[8.199]
>77, c[0.000,0], d[0.000,0.001], g[8.150]
>78, c[0.000,0], d[0.000,0.001], g[8.081]
>79, c[0.000,0], d[0.000,0.002], g[7.994]
